               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.033092,            0.023899,            0.047027,             0.69042,             0.43009,               0.486,             0.42924,            0.024196,            0.015648,            0.051391,            0.002806,            0.002806,            0.002806
                 111,             0.03373,            0.023487,            0.046489,             0.69545,             0.43692,             0.48879,              0.4282,            0.024964,            0.015727,            0.051176,             0.00274,             0.00274,             0.00274
                 112,            0.032906,            0.024156,            0.046612,             0.63781,             0.49778,             0.48573,             0.42743,            0.024889,            0.015879,            0.051085,            0.002674,            0.002674,            0.002674
                 113,            0.031876,            0.024073,            0.046443,             0.59586,             0.50772,             0.48663,             0.43515,            0.024092,            0.015622,            0.051033,            0.002608,            0.002608,            0.002608
                 114,            0.030886,            0.022417,            0.046048,             0.58354,             0.51941,             0.49767,             0.44381,            0.023982,            0.015273,            0.050856,            0.002542,            0.002542,            0.002542
                 115,            0.032394,            0.022423,            0.045895,             0.63824,             0.48085,              0.4907,             0.44311,            0.023563,             0.01502,            0.050661,            0.002476,            0.002476,            0.002476
                 116,            0.032068,            0.022747,            0.046543,             0.63486,             0.48199,             0.49172,             0.44027,            0.024213,            0.015969,            0.050692,             0.00241,             0.00241,             0.00241
                 117,            0.031979,            0.022695,            0.045623,             0.61759,             0.52702,             0.49073,             0.43888,            0.024438,            0.015933,            0.050536,            0.002344,            0.002344,            0.002344
                 118,            0.032538,            0.023672,            0.045972,             0.62071,             0.53275,             0.49653,             0.44235,            0.024066,            0.015701,            0.050462,            0.002278,            0.002278,            0.002278
                 119,             0.03173,            0.022666,            0.045781,             0.62697,             0.48481,             0.49525,             0.44475,            0.023741,            0.015055,            0.050263,            0.002212,            0.002212,            0.002212
                 120,            0.031792,            0.022566,            0.045787,             0.62565,             0.51904,             0.50748,             0.46441,            0.023164,            0.014964,            0.050037,            0.002146,            0.002146,            0.002146
                 121,            0.031795,            0.023565,             0.04529,             0.63971,              0.5175,             0.49493,             0.44104,            0.024732,            0.015545,             0.04993,             0.00208,             0.00208,             0.00208
                 122,             0.03243,            0.022647,            0.045724,             0.54968,             0.51747,             0.49935,             0.45651,            0.023322,             0.01495,             0.04977,            0.002014,            0.002014,            0.002014
